State,Capital,Largest City,Bird,Flower
Alabama,Montgomery,Birmingham,Yellowhammer,Camellia
Alaska,Juneau,Anchorage,Willow Ptarmigan,Forget-me-not
Arizona,Phoenix,Phoenix,Cactus Wren,Saguaro Cactus Blossom
Arkansas,Little Rock,Little Rock,Mockingbird,Apple Blossom
California,Sacramento,Los Angeles,California Valley Quail,Golden Poppy
Colorado,Denver,Denver,Lark Bunting,Columbine
Connecticut,Hartford,Bridgeport,American Robin,Mountain Laurel
Delaware,Dover,Wilmington,Blue Hen Chicken,Peach Blossom
Florida,Tallahassee,Jacksonville,Mockingbird,Orange Blossom
Georgia,Atlanta,Atlanta,Brown Thrasher,Cherokee Rose
Hawaii,Honolulu,Honolulu,Nene (Hawaiian Goose),Hibiscus
Idaho,Boise,Boise,Mountain Bluebird,Syringa
Illinois,Springfield,Chicago,Cardinal,Native violet
Indiana,Indianapolis,Indianapolis,Cardinal,Peony
Iowa,Des Moines,Des Moines,Eastern Goldfinch,Wild Rose
Kansas,Topeka,Wichita,Western Meadowlark,Native Sunflower
Kentucky,Frankfort,Louisville,Kentucky Cardinal,Goldenrod
Louisiana,Baton Rouge,New Orleans,Pelican,Magnolia
Maine,Augusta,Portland,Chickadee,White Pine Cone and Tassel
Maryland,Annapolis,Baltimore,Baltimore Oriole,Black-Eyed Susan
Massachusetts,Boston,Boston,Chickadee,Mayflower
Michigan,Lansing,Detroit,Robin,Apple Blossom
Minnesota,St. Paul,Minneapolis,Common Loon,Pink and White Lady's Slipper
Mississippi,Jackson,Jackson,Mockingbird,Magnolia
Missouri,Jefferson City,Kansas City,Bluebird,Hawthorn
Montana,Helena,Billings,Western Meadowlark,Bitterroot
Nebraska,Lincoln,Omaha,Western Meadowlark,Goldenrod
Nevada,Carson City,Las Vegas,Mountain Bluebird,Sagebrush
New Hampshire,Concord,Manchester,Purple Finch,Purple Lilac
New Jersey,Trenton,Newark,Eastern Goldfinch,Purple Violet
New Mexico,Santa Fe,Albuquerque,Roadrunner,Yucca Flower
New York,Albany,New York,Bluebird,Rose
North Carolina,Raleigh,Charlotte,Cardinal,Dogwood
North Dakota,Bismarck,Fargo,Western Meadowlark,Wild Prairie Rose
Ohio,Columbus,Columbus,Cardinal,Scarlet Carnation
Oklahoma,Oklahoma City,Oklahoma City,Scissor-Tailed Flycatcher,Mistletoe
Oregon,Salem,Portland,Western Meadowlark,Oregon Grape
Pennsylvania,Harrisburg,Philadelphia,Ruffed Grouse,Mountain Laurel
Rhode Island,Providence,Providence,Rhode Island Red,Violet
South Carolina,Columbia,Columbia,Carolina Wren,Yellow Jessamine
South Dakota,Pierre,Sioux Falls,Ring-Necked Pheasant,American Pasqueflower
Tennessee,Nashville,Memphis,Mockingbird,Iris
Texas,Austin,Houston,Mockingbird,Bluebonnet
Utah,Salt Lake City,Salt Lake City,California Gull,Sego Lily
Vermont,Montpelier,Burlington,Hermit Thrush,Red Clover
Virginia,Richmond,Virginia Beach,Cardinal,Dogwood
Washington,Olympia,Seattle,Willow Goldfinch,Western Rhododendron
West Virginia,Charleston,Charleston,Cardinal,Big Rhododendron
Wisconsin,Madison,Milwaukee,Robin,Wood Violet
Wyoming,Cheyenne,Cheyenne,Meadowlark,Indian Paintbrush
"Washington, D.C.",None,Washington,Woodthrush,American Beauty Rose
